taxon	max	min
Reticulitermes_minimus	38	33.9
Reticulitermes_pliozaenicus	3.6	2.588
Rhinotermes_miocenicus	7.246	5.333
Rhinotermites_dzierzoni	15.97	13.65
Rhinotermites_kuehni	15.97	13.65
Rhinotermites_wasmanni	15.97	13.65
Zophotermes_ashoki	56	47.8
Chilgatermes_diamatensis	28.1	23.03
Stolotermes_amanoi	11.608	5.333
Stolotermes_kupe	23.03	20.44
Parastylotermes_calico	20.43	15.97
Parastylotermes_frazieri	23.03	15.97
Parastylotermes_krishnai	56	47.8
Parastylotermes_robustus	38	33.9
Parastylotermes_washingtonensis	15.97	13.82
Prostylotermes_kamboja	56	47.8
Anoplotermes_bohio	20.44	13.82
Anoplotermes_cacique	20.44	13.82
Anoplotermes_carib	20.44	13.82
Anoplotermes_maboya	20.44	13.82
Anoplotermes_naboria	20.44	13.82
Anoplotermes_nitaino	20.44	13.82
Anoplotermes_quisqueya	20.44	13.82
Anoplotermes_taino	20.44	13.82
Macrotermes_pristinus	12.7	11.608
Macrotermes_scheuthlei	15.97	5.333
Atlantitermes_antillea	20.44	13.82
Atlantitermes_caribea	20.44	13.82
Atlantitermes_magnoculus	20.44	13.82
Caribitermes_hispaniola	20.44	13.82
Constrictotermes_electroconstrictus	20.44	13.82
Nasutitermes_amplioculatus	20.44	13.82
Nasutitermes_crinitus	20.44	13.82
Nasutitermes_electrinus	23.03	15.97
Nasutitermes_electronasutus	20.44	13.82
Nasutitermes_incisus	20.44	13.82
Nasutitermes_magnocellus	20.44	13.82
Nasutitermes_medioculatus	20.44	13.82
Nasutitermes_rotundicephalus	20.44	13.82
Nasutitermes_seminudus	20.44	13.82
Parvitermes_longinasus	20.44	13.82
Subulitermes_hispaniola	20.44	13.82
Subulitermes_insularis	20.44	13.82
Velocitermes_bulbus	20.44	13.82
Amitermes_lucidus	20.44	13.82
Gnathamitermes_rousei	20.43	15.97
Microcerotermes_insulanus	20.44	13.82
Microcerotermes_setosus	20.44	13.82
Termes_primitivus	20.44	13.82
Termes_siruguei	28.1	23.03
Metatermites_statzi	15.97	13.65
Nanotermes_isaacae	56	47.8
Termopsis_bremii	38	33.9
Termopsis_gracilipennis	33.9	28.4
Termopsis_mallaszi	12.7	11.608
Termopsis_transsylvanica	12.7	11.608
Termopsis_ukapirmasi	38	33.9
Cryptotermes_brevis 0.0 0.0
Cryptotermes_cavifrons 0.0 0.0
Incisitermes_schwarzi	0.0 0.0
Kalotermes_flavicollis	0.0 0.0
Mastotermes_darwiniensis	0.0  0.0
Atlantitermes_oculatissimus	0.0 0.0
Constrictotermes_sp	0.0 0.0
Hospitalitermes_sp	0.0 0.0
Leucopitermes_leucops	0.0 0.0
Longipeditermes_longipes	0.0 0.0
Nasutitermes_proatripennis	0.0 0.0
Nasutitermes_sp	0.0 0.0
Nasutitermes_sp_fossil	23.44 13.82
Obtusitermes_sp	0.0 0.0
Oriensubulitermes_inanis	0.0 0.0
Postsubulitermes_sp	0.0 0.0
Subulitermes_baileyi	0.0 0.0
Subulitermes_fossil	23.44 13.82
Trinervitermes_sp	0.0 0.0
Tumulitermes_apiocephalus	0.0 0.0
Velocitermes_sp	23.44 13.82
Coptotermes_curvignathus	0.0 0.0
Dolichorhinotermes_longilabius	0.0 0.0
Heterotermes_platycephalus	0.0 0.0
Parrhinotermes_microdentiformis	0.0 0.0
Prorhinotermes_flavus	0.0 0.0
Reticulitermes_flavipes	0.0 0.0
Rhinotermes_sp	0.0 0.0
Schedorhinotermes_breinli	0.0 0.0
Schedorhinotermes_lamanianus	0.0 0.0
Schedorhinotermes_sp	0.0 0.0
Termitogeton_umblicautus	0.0 0.0
Cyrilliotermes_angulariceps	0.0 0.0
Paracurvitermes_manni	0.0 0.0
Procornitermes_sp	0.0 0.0
Syntermes_sp	0.0 0.0
Allodontermes_sp	0.0 0.0
Ancistrotermes_crucifer	0.0 0.0
Apilitermes_longiceps	0.0 0.0
Basidentitermes_sp	0.0 0.0
Cavitermes_sp	0.0 0.0
Cephalotermes_rectangularis	0.0 0.0
Coatitermes_kartaboensis	0.0 0.0
Crenetermes_albotarsalis	0.0 0.0
Cubitermes_sp	0.0 0.0
Cylindrotermes_parvignathus	0.0 0.0
Dihoplotermes_sp	0.0 0.0
Drepanotermes_rubriceps	0.0 0.0
Ephelotermes_argutus	0.0 0.0
Foraminitermes_tubifrons	0.0 0.0
Globitermes_globosus	0.0 0.0
Homallotermes_eleanorae	0.0 0.0
Hypotermes_obscuriceps	0.0 0.0
Macrognathotermes_sunteri	0.0 0.0
Macrotermes_sp	0.0 0.0
Microcerotermes_sp_fossil 15.97 5.33
Microcerotermes_sp_living	0.0 0.0
Microhodotermes_viator	0.0 0.0
Microtermes_sp	0.0 0.0
Mirocapritermes_latignathus	0.0 0.0
Neocapritermes_longinotus 0.0 0.0
Odontotermes_sp	0.0 0.0
Orientotermes_sp	0.0 0.0
Orthotermes_sp	0.0 0.0
Pericapritermes_sp	0.0 0.0
Planicapritermes_sp	0.0 0.0
Procapritermes_sp	0.0 0.0
Procubitermes_arboricola	0.0 0.0
Promirotermes_connectens	0.0 0.0
Protermes_minutus	0.0 0.0
Pseudacanthotermes_sp	0.0 0.0
Sphaerotermes_sp	0.0 0.0
Synacanthotermes_heterodon	0.0 0.0
Termes_sp	0.0 0.0
Tuberculitermes_bycanistes	0.0 0.0
spinitermes_sp	0.0 0.0
Blattella_germanica	0.0 0.0
Cryptocercus_relictus	0.0 0.0
Eupolyphaga_sinensis	0.0 0.0
Locusta_migratoria	0.0 0.0
Megacrania_alpheus	0.0 0.0
Periplaneta_fuliginosa	0.0 0.0
Sclerophasma_paresisensis	0.0 0.0
Tamolanica_tamolana	0.0 0.0
